,HobbyTime,HobbyEnjoyment,HobbyPortfolio,HobbyVolunteer,HobbyShareMessages,HobbyBuildSkills
87,6–10,Very True of Me,Neutral,Neutral,Neutral,Very True of Me
88,5 or less,True of me,True of me,True of me,Untrue of Me,Neutral
89,6–10,True of me,True of me,Very True of Me,Very True of Me,True of me
91,5 or less,True of me,Neutral,Untrue of Me,True of me,True of me
93,5 or less,True of me,Very Untrue of Me,Very Untrue of Me,Neutral,Very True of Me
94,6–10,True of me,Very True of Me,Neutral,Neutral,Very True of Me
101,5 or less,Very True of Me,Neutral,Untrue of Me,Neutral,Very True of Me
103,6–10,Very True of Me,True of me,True of me,True of me,Very True of Me
106,21–30,True of me,True of me,True of me,Neutral,Very True of Me
110,6–10,Very True of Me,True of me,Untrue of Me,Very True of Me,True of me
114,11–20,Very True of Me,Very True of Me,Very Untrue of Me,Very Untrue of Me,Very True of Me
115,5 or less,Very True of Me,True of me,Untrue of Me,Neutral,Very True of Me
117,6–10,True of me,True of me,True of me,Neutral,Very True of Me
118,6–10,True of me,True of me,Neutral,Very True of Me,True of me
119,5 or less,True of me,Very True of Me,True of me,True of me,Very True of Me
120,6–10,Very True of Me,True of me,Neutral,Very True of Me,Very True of Me
121,5 or less,Very True of Me,Very True of Me,Very True of Me,True of me,Very True of Me
123,5 or less,True of me,Very True of Me,Very Untrue of Me,Neutral,Very True of Me
124,5 or less,Very True of Me,True of me,True of me,Very True of Me,Very True of Me
126,5 or less,Very True of Me,Very True of Me,Very Untrue of Me,Neutral,True of me
128,5 or less,Neutral,Very True of Me,True of me,True of me,True of me
129,5 or less,True of me,Very True of Me,Very Untrue of Me,Untrue of Me,Very True of Me
130,5 or less,True of me,True of me,Very Untrue of Me,Untrue of Me,True of me
132,5 or less,True of me,Untrue of Me,Untrue of Me,Untrue of Me,True of me
133,6–10,True of me,Neutral,Untrue of Me,Neutral,Very True of Me
134,11–20,Very Untrue of Me,True of me,Untrue of Me,Untrue of Me,Very True of Me
135,6–10,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
142,5 or less,Very True of Me,True of me,Untrue of Me,True of me,Very True of Me
156,5 or less,Very True of Me,Neutral,Untrue of Me,True of me,Untrue of Me
157,6–10,True of me,True of me,True of me,True of me,True of me
160,5 or less,Very True of Me,Very Untrue of Me,Very Untrue of Me,Very True of Me,True of me
161,5 or less,True of me,Neutral,Untrue of Me,Untrue of Me,True of me
162,21–30,True of me,Very True of Me,Neutral,Neutral,Very True of Me
164,6–10,Neutral,Neutral,Neutral,Neutral,Very True of Me
165,6–10,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
166,5 or less,Very True of Me,Neutral,Very Untrue of Me,Very True of Me,Very True of Me
167,5 or less,Very True of Me,True of me,True of me,Very True of Me,Very True of Me
168,5 or less,Very True of Me,Very True of Me,Very Untrue of Me,Neutral,Very True of Me
169,5 or less,True of me,Neutral,Neutral,True of me,Very True of Me
170,5 or less,Neutral,Very True of Me,Untrue of Me,True of me,Very True of Me
171,5 or less,Very True of Me,True of me,Untrue of Me,Neutral,Very True of Me
172,6–10,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
173,11–20,Very True of Me,True of me,Very True of Me,Very True of Me,Very True of Me
175,5 or less,Very True of Me,Neutral,Neutral,True of me,Very True of Me
177,6–10,Very True of Me,True of me,Neutral,Very True of Me,Very True of Me
182,5 or less,True of me,Very Untrue of Me,Neutral,True of me,Neutral
185,5 or less,Very True of Me,Untrue of Me,True of me,Neutral,True of me
187,6–10,Very True of Me,True of me,Very Untrue of Me,Neutral,Neutral
188,6–10,Very True of Me,Very True of Me,Neutral,Neutral,Very True of Me
193,More than 40,Very True of Me,Very True of Me,Neutral,Very True of Me,Very True of Me
196,5 or less,True of me,True of me,Untrue of Me,True of me,Very True of Me
216,11–20,True of me,Untrue of Me,Neutral,Very Untrue of Me,Very True of Me
217,11–20,Very True of Me,True of me,True of me,True of me,Very True of Me
218,5 or less,Very True of Me,Very True of Me,,True of me,Very True of Me
219,5 or less,Very True of Me,Very True of Me,Neutral,Very True of Me,Very True of Me
220,6–10,Very True of Me,Very True of Me,Very Untrue of Me,True of me,Very True of Me
221,6–10,True of me,Very True of Me,True of me,Neutral,Very True of Me
222,6–10,True of me,Very True of Me,Very True of Me,True of me,Very True of Me
223,6–10,True of me,Very True of Me,,Neutral,Very True of Me
224,5 or less,Very True of Me,Untrue of Me,Very Untrue of Me,Untrue of Me,Neutral
227,5 or less,True of me,Untrue of Me,True of me,Untrue of Me,True of me
232,5 or less,Very True of Me,Very True of Me,Untrue of Me,Neutral,Very True of Me
244,5 or less,True of me,True of me,True of me,True of me,True of me
246,6–10,Very True of Me,Neutral,True of me,True of me,Very True of Me
248,6–10,Neutral,True of me,Very Untrue of Me,Neutral,True of me
255,6–10,Very True of Me,Very True of Me,Untrue of Me,True of me,True of me
299,11–20,Very True of Me,Very True of Me,Very Untrue of Me,Very True of Me,Very True of Me
300,6–10,True of me,Very True of Me,True of me,True of me,Very True of Me
302,6–10,True of me,True of me,Neutral,Neutral,True of me
303,5 or less,Neutral,Untrue of Me,Very True of Me,Neutral,True of me
305,6–10,True of me,True of me,Untrue of Me,Neutral,True of me
307,11–20,Very True of Me,True of me,Neutral,Very True of Me,True of me
312,21–30,True of me,Very True of Me,True of me,True of me,Very True of Me
316,5 or less,True of me,Very True of Me,Very True of Me,True of me,Very True of Me
319,5 or less,True of me,Very Untrue of Me,Very True of Me,True of me,True of me
324,11–20,Very True of Me,Very True of Me,Very True of Me,True of me,Neutral
396,5 or less,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
399,11–20,True of me,Very True of Me,Untrue of Me,Very True of Me,Very True of Me
402,11–20,Very True of Me,True of me,True of me,Very True of Me,Very True of Me
434,6–10,Very True of Me,True of me,True of me,True of me,Very True of Me
435,5 or less,Very True of Me,True of me,Neutral,Neutral,Very True of Me
436,5 or less,Very True of Me,,True of me,True of me,Very True of Me
437,5 or less,Very True of Me,Neutral,True of me,True of me,Very True of Me
438,6–10,Very True of Me,Very True of Me,Neutral,Very True of Me,Very True of Me
439,5 or less,True of me,Neutral,Neutral,Neutral,Neutral
440,5 or less,True of me,Very True of Me,Neutral,Neutral,Very True of Me
449,6–10,True of me,True of me,True of me,Untrue of Me,Very True of Me
452,5 or less,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
456,5 or less,Very True of Me,Very True of Me,True of me,Neutral,Very True of Me
468,6–10,True of me,True of me,True of me,Neutral,True of me
496,6–10,Very True of Me,True of me,Neutral,Neutral,Very True of Me
497,5 or less,Very True of Me,True of me,Untrue of Me,Neutral,Very True of Me
568,5 or less,True of me,Untrue of Me,Neutral,True of me,True of me
579,5 or less,Very True of Me,Very True of Me,Neutral,Neutral,Very True of Me
580,5 or less,True of me,Very True of Me,Neutral,Neutral,Very True of Me
595,6–10,Very True of Me,Very True of Me,Untrue of Me,True of me,Very True of Me
596,5 or less,True of me,Very True of Me,True of me,Neutral,Very True of Me
605,5 or less,Very True of Me,Very True of Me,Neutral,Neutral,Very True of Me
612,6–10,Very True of Me,Very True of Me,Neutral,Very True of Me,Very True of Me
615,6–10,Very True of Me,Very True of Me,Very True of Me,True of me,Very True of Me
624,5 or less,True of me,True of me,Neutral,True of me,True of me
628,5 or less,True of me,Neutral,True of me,Untrue of Me,True of me
662,6–10,True of me,Neutral,True of me,Very True of Me,Very True of Me
705,5 or less,True of me,Very True of Me,Untrue of Me,Neutral,Very True of Me
707,6–10,Very True of Me,Very True of Me,Neutral,True of me,Very True of Me
736,6–10,Very Untrue of Me,Neutral,Neutral,Very Untrue of Me,Very Untrue of Me
780,5 or less,Very True of Me,True of me,Untrue of Me,True of me,True of me
790,5 or less,Very True of Me,Neutral,True of me,Neutral,True of me
801,5 or less,True of me,Neutral,Neutral,True of me,Very True of Me
808,5 or less,True of me,True of me,True of me,Neutral,Very True of Me
818,6–10,Very True of Me,Very True of Me,Neutral,True of me,Very True of Me
819,6–10,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
821,5 or less,Very True of Me,Very Untrue of Me,Neutral,True of me,Neutral
828,5 or less,Very True of Me,Neutral,Very True of Me,Very True of Me,Very True of Me
829,6–10,Neutral,Neutral,True of me,True of me,Neutral
908,More than 40,Very True of Me,Neutral,Untrue of Me,Untrue of Me,Very True of Me
935,6–10,True of me,True of me,True of me,Very True of Me,Very True of Me
938,5 or less,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
946,6–10,True of me,Very True of Me,True of me,True of me,True of me
949,6–10,True of me,True of me,Untrue of Me,True of me,True of me
966,5 or less,Very True of Me,Very True of Me,True of me,Neutral,Very True of Me
994,11–20,True of me,True of me,True of me,True of me,True of me
1010,6–10,Very Untrue of Me,Very Untrue of Me,True of me,Very True of Me,Neutral
1011,6–10,Very True of Me,True of me,True of me,True of me,Very True of Me
1012,5 or less,Neutral,True of me,Untrue of Me,Untrue of Me,True of me
1014,5 or less,Neutral,True of me,Neutral,Neutral,True of me
1040,11–20,Very True of Me,Very True of Me,Neutral,Neutral,True of me
1047,6–10,Very True of Me,Very True of Me,Untrue of Me,True of me,Very True of Me
1102,11–20,Neutral,Neutral,Very True of Me,Very True of Me,True of me
1162,11–20,True of me,True of me,Untrue of Me,True of me,True of me
1174,5 or less,Very True of Me,Neutral,Very True of Me,Neutral,Very True of Me
1211,11–20,Very True of Me,Very True of Me,True of me,True of me,True of me
1216,6–10,Very True of Me,Very True of Me,Neutral,True of me,True of me
1240,5 or less,Neutral,Neutral,Neutral,Neutral,Very True of Me
1242,31–40,Very True of Me,True of me,Untrue of Me,True of me,True of me
1243,6–10,Very True of Me,Very True of Me,Very Untrue of Me,Neutral,Very True of Me
1320,6–10,Very True of Me,True of me,True of me,Very True of Me,Very True of Me
1326,11–20,True of me,True of me,Neutral,True of me,True of me
1331,6–10,True of me,True of me,Neutral,Neutral,True of me
1333,11–20,Very True of Me,True of me,True of me,True of me,Very True of Me
1342,5 or less,Very True of Me,True of me,Untrue of Me,Neutral,Very True of Me
1346,5 or less,Very True of Me,True of me,True of me,True of me,Very True of Me
1361,6–10,Very True of Me,True of me,Very True of Me,True of me,True of me
1420,6–10,True of me,Very True of Me,Neutral,True of me,True of me
1432,6–10,Very True of Me,Very True of Me,Untrue of Me,Neutral,Very True of Me
1439,5 or less,Very True of Me,Neutral,Neutral,Very True of Me,Neutral
1440,21–30,Very True of Me,Very True of Me,Neutral,Very True of Me,Very True of Me
1441,5 or less,True of me,Very True of Me,Untrue of Me,Neutral,Very True of Me
1442,31–40,Very True of Me,Very True of Me,Untrue of Me,True of me,Very True of Me
1443,5 or less,Very True of Me,,,,True of me
1454,5 or less,Very True of Me,True of me,Neutral,True of me,Very True of Me
1457,6–10,Very True of Me,True of me,Untrue of Me,True of me,True of me
1494,6–10,True of me,Untrue of Me,Neutral,True of me,Neutral
1524,5 or less,Very True of Me,Very Untrue of Me,Very Untrue of Me,Very Untrue of Me,True of me
1532,5 or less,True of me,Untrue of Me,Very Untrue of Me,Neutral,Neutral
1537,31–40,True of me,True of me,True of me,True of me,True of me
1584,5 or less,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
1597,6–10,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
1599,5 or less,Very True of Me,Neutral,Neutral,Neutral,True of me
1608,5 or less,Very True of Me,Very True of Me,True of me,Untrue of Me,Very True of Me
1612,More than 40,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
1643,6–10,Very True of Me,Very True of Me,Neutral,True of me,Very True of Me
1644,5 or less,True of me,Neutral,Very Untrue of Me,True of me,Neutral
1645,31–40,Very True of Me,Very True of Me,True of me,Very True of Me,True of me
1651,6–10,Very True of Me,Very True of Me,Untrue of Me,True of me,True of me
1656,5 or less,True of me,Untrue of Me,Untrue of Me,True of me,True of me
1703,5 or less,True of me,True of me,True of me,Neutral,Very True of Me
1720,5 or less,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
1722,11–20,True of me,Neutral,Untrue of Me,Very True of Me,True of me
1742,5 or less,Very True of Me,True of me,True of me,True of me,Very True of Me
1748,6–10,True of me,Very True of Me,True of me,True of me,Very True of Me
1771,5 or less,True of me,Neutral,True of me,True of me,True of me
1777,6–10,Very True of Me,Very True of Me,Untrue of Me,Untrue of Me,Very True of Me
1779,5 or less,Very True of Me,Very True of Me,Very Untrue of Me,Very Untrue of Me,Very True of Me
1783,6–10,True of me,True of me,True of me,True of me,True of me
1807,5 or less,Very True of Me,True of me,Neutral,True of me,Very True of Me
1848,5 or less,Very True of Me,Neutral,True of me,True of me,True of me
1854,6–10,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
